Job title,Company name,Locations name,Skills,links
Junior Odoo Developer,Ulemt -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · Git · Odoo · XML · Information Technology (IT) · Software Engineering · JavaScript · PostgreSQL,/jobs/p/5riYybXp5agc-Junior-Odoo-Developer-Ulemt-Cairo-Egypt?o=45&l=sp&t=sj&a=html|search-v3|navbg
WordPress Developer,Digital Experts  -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Communication Skills · WordPress · PHP · javaScript · HTML5 · jQuery,/jobs/p/eNVZETQfLQ09-WordPress-Developer-Digital-Experts-Cairo-Egypt?o=46&l=sp&t=sj&a=html|search-v3|navbg
Senior Full Stack Developer - (.Net Core + Angular),CrossWorkers -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · CSS3 · HTML5 · JavaScript · Angular 8+ · Typescript · Bootstrap · .Net Framework,/jobs/p/AozERG25YzJI-Senior-Full-Stack-Developer---Net-Core-Angular-CrossWorkers-Cairo-Egypt?o=47&l=sp&t=sj&a=html|search-v3|navbg
WordPress Engineer,Nile Creations -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · WordPress · Information Technology (IT) · HTML5 · CSS3 · jQuery · Ecommerce · Computer Science · Software,/jobs/p/QEq07jslROVC-WordPress-Engineer-Nile-Creations-Cairo-Egypt?o=48&l=sp&t=sj&a=html|search-v3|navbg
Senior SharePoint Developer,Smart IT -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · SharePoint · MVC · TSQL · jQuery · Microsoft SQL Server · javaScript · CSS3,/jobs/p/pVMDUXVJv7Zf-Senior-SharePoint-Developer-Smart-IT-Cairo-Egypt?o=49&l=sp&t=sj&a=html|search-v3|navbg
Senior .NET Full Stack Developer (.NET Core & Angular),Excel Systems   -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,/jobs/p/gFQia4H6R8ce-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Excel-Systems-Giza-Egypt?o=50&l=sp&t=sj&a=html|search-v3|navbg
PHP Developer,The Translation Gate -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Web Development · PHP · HTML,/jobs/p/7R917nYdmV0C-PHP-Developer-The-Translation-Gate-Cairo-Egypt?o=51&l=sp&t=sj&a=html|search-v3|navbg
Front-end Developer - Remotely for UK from Egypt,Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · HTML5 · jQuery · Angular · CSS · JavaScript · CSS3 · Front end,/jobs/p/0CuXBYZTnstR-Front-end-Developer---Remotely-for-UK-from-Egypt-Mobile-Wave-3-Cairo-Egypt?o=52&l=sp&t=sj&a=html|search-v3|navbg
Flutter Developer,Confidential -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · OOP · Computer Science · CSS · HTML · Information Technology (IT) · jQuery · JavaScript,/jobs/p/PwP8E1cmj4RY-Flutter-Developer-Giza-Egypt?o=53&l=sp&t=sj&a=html|search-v3|navbg
Automation Testing Engineer,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Computer Science · Engineering · Information Technology (IT) · Software Testing · SQL · Testing,/jobs/p/EVAlZ6TitSYR-Automation-Testing-Engineer-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=54&l=sp&t=sj&a=html|search-v3|navbg
Back-End PHP Developer,Confidential -,"Mansoura, Dakahlia, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AJAX · backend · MVC · MySQL · PHP · Express.js · Node.js,/jobs/p/4HEi1mDQRsfS-Back-End-PHP-Developer-Dakahlia-Egypt?o=55&l=sp&t=sj&a=html|search-v3|navbg
Front-End / React & React-Native Developer - Alexandria,Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Web Development · Mobile Application · ES6 · ES7 · Front-End Technologies · Vue · Angular,/jobs/p/ZzETt4OthV4O-Front-End-React-React-Native-Developer---Alexandria-Arabic-Localizer-Alexandria-Egypt?o=56&l=sp&t=sj&a=html|search-v3|navbg
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,/jobs/p/KSVJ4un64xm6-Python-Developer-OdooTec-Cairo-Egypt?o=57&l=sp&t=sj&a=html|search-v3|navbg
Web Designer,Smartpan -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · CSS · Computer Science · Adobe Photoshop · Adobe illustrator · Graphic Design · Design · HTML,/jobs/p/Z6wYvjZYLyHn-Web-Designer-Smartpan-Cairo-Egypt?o=58&l=sp&t=sj&a=html|search-v3|navbg
SEO Analyst,CoatConnect -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Analyst/Research · Digital Marketing · SEO · Marketing · Analyst · Social Media · Google Analytics · HTML,/jobs/p/PXMf2cvkANrh-SEO-Analyst-CoatConnect-Cairo-Egypt?o=59&l=sp&t=sj&a=html|search-v3|navbg
Frontend Developer - ReactJS / VueJS (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Sass · JavaScript · CSS · UI · Frontend · HTML5 · Software Development · Vue.js,/jobs/p/QFF7sBYZZgd0-Frontend-Developer---ReactJS-VueJS-FinTech-Bright-Creations-Giza-Egypt?o=60&l=sp&t=sj&a=html|search-v3|navbg
Laravel / React Fullstack Developer,Remotecoders -,"Cairo, Egypt ",Full TimeExperienced · 2 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · React · Information Technology (IT) · Software Development · Software Engineering · REST · Vue · CSS,/jobs/p/ANjcrMykms7n-Laravel-React-Fullstack-Developer-Remotecoders-Cairo-Egypt?o=61&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer - Laravel/VueJS (FinTech/Community),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimePart TimeFreelance / ProjectExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · APIs · JavaScript · Laravel · PHP · Vue.js · React.js · Front-End Development,/jobs/p/FrwCZqK4gY04-Full-Stack-Developer---LaravelVueJS-FinTechCommunity-Bright-Creations-Giza-Egypt?o=62&l=sp&t=sj&a=html|search-v3|navbg
Senior PHP Full Stack Developer - Laravel,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · PHP · MySQL · Web Development · Web Design · Development · Linux · Symfony2,/jobs/p/H41aDdkaoKnu-Senior-PHP-Full-Stack-Developer---Laravel-Cairo-Egypt?o=63&l=sp&t=sj&a=html|search-v3|navbg
Senior NET Developer,electrified -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · .Net · HTML5 · Software Development · blazor · MVC · ASP.Net Web API,/jobs/p/eWhw46GIXaDV-Senior-NET-Developer-electrified-Cairo-Egypt?o=64&l=sp&t=sj&a=html|search-v3|navbg
"Full Stack Developer (.NET core , Angular)",Smart IT -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL,/jobs/p/CA6u4YCFsgfx-Full-Stack-Developer-NET-core-Angular-Smart-IT-Cairo-Egypt?o=65&l=sp&t=sj&a=html|search-v3|navbg
Senior Frontend Developer (Angular),FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Typescript · apex saleforce · HTML · CSS · JavaScript · Software Development · Software Engineering,/jobs/p/dMRItj2KvAAO-Senior-Frontend-Developer-Angular-FlairsTech-Cairo-Egypt?o=66&l=sp&t=sj&a=html|search-v3|navbg
Web Developer,Peerless -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Bootstrap · Angular · Computer Science · CSS · Git · HTML · Information Technology (IT),/jobs/p/XaOBoqit2i7s-Web-Developer-Peerless-Giza-Egypt?o=67&l=sp&t=sj&a=html|search-v3|navbg
